بيانات المنتج,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
النوع ,أسم المنتج,تصنيف المنتج,صورة المنتج,وصف صورة المنتج,نوع المنتج,سعر المنتج,الوصف,هل يتطلب شحن؟,رمز المنتج sku,سعر التكلفة,السعر المخفض,تاريخ بداية التخفيض,تاريخ نهاية التخفيض,اقصي كمية لكل عميل,إخفاء خيار تحديد الكمية,اضافة صورة عند الطلب,الوزن,وحدة الوزن,الماركة,العنوان الترويجي,تثبيت المنتج,الباركود,السعرات الحرارية,MPN,GTIN,خاضع للضريبة ؟,سبب عدم الخضوع للضريبة,[1] الاسم,[1] النوع,[1] القيمة,[1] الصورة / اللون,[2] الاسم,[2] النوع,[2] القيمة,[2] الصورة / اللون,[3] الاسم,[3] النوع,[3] القيمة,[3] الصورة / اللون
منتج,عطر سولاي نيج أو دو بارفان,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/a35dd071-bd8c-47aa-b700-bebe890984e9-500x500-teZJWEL7oEG3NGg3BG7E9krqK0pJwRYf778HZgS1.png",عطر سولاي نيج أو دو بارفان,منتج جاهز,851,<p>عطر سولاي نيج أو دو بارفان</p>,نعم,,,,,,,,,0.5,kg,,,,,,,,,,,,,,,,,,,,,
منتج,عينة عطر ستاردست مسك من دي جابور اكستريت دو بارفيوم,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/6c41663c-56be-47e9-879c-8081ab518aa1-500x500-P2iJzeZwgHzgQJiUtIvzWznfePB1r8vCSX29jneV.png",عينة عطر ستاردست مسك من دي جابور اكستريت دو بارفيوم,منتج جاهز,24,<p>عينة عطر ستاردست مسك من دي جابور اكستريت دو بارفيوم</p>,نعم,,,,,,,,,0.5,kg,,,,,,,,,,,,,,,,,,,,,
منتج,عينة عطر جيشا ديفا من دي جابور اكستريت دي بارفيوم,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/544ae3d7-f9a5-49dc-904a-ac5687a6a25f-500x500-eHaSpRt44q5kLB4lAL5vuqVML7jpESLnxfhmBjwr.png",عينة عطر جيشا ديفا من دي جابور اكستريت دي بارفيوم,منتج جاهز,24,<p>عينة عطر جيشا ديفا من دي جابور اكستريت دي بارفيوم</p>,نعم,,,,,,,,,0.5,kg,,,,,,,,,,,,,,,,,,,,,
منتج,عينة عطر كلكوز فلورز لي اروجينال,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/5c06ef4d-8f47-4858-a815-d57dc18dac6b-500x500-q7QqIyMXdpDcEAKw84qCHTRdcrcCArYjkl2VBBhm.png",عينة عطر كلكوز فلورز لي اروجينال,منتج جاهز,13,<p>عينة عطر كلكوز فلورز لي اروجينال</p>,نعم,,,,,,,,,0.5,kg,,,,,,,,,,,,,,,,,,,,,
منتج,عينة عطر روز دو ديزيرتاو من هوبيجان دو بارفيوم,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/7ef4738b-16a0-41e2-842d-9509b596a3b7-500x500-gSKnsdQvc17Gf3mFmOuW1LzPgqmfWK5wpnFmGRzF.png",عينة عطر روز دو ديزيرتاو من هوبيجان دو بارفيوم,منتج جاهز,10,<p>عينة عطر روز دو ديزيرتاو من هوبيجان دو بارفيوم</p>,نعم,,,,,,,,,0.5,kg,هوبيجان,,,,,,,,,,,,,,,,,,,,
منتج,عينة عطر هوبيجانت باريس توباك نوميد,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/02847231-11cd-4978-8657-8c6122d00ac8-500x500-BgGdA3lUE5HPo8TKZPwimrxdKsnURUo4zRktV5gG.png",عينة عطر هوبيجانت باريس توباك نوميد,منتج جاهز,10,<p>عينة عطر هوبيجانت باريس توباك نوميد</p>,نعم,,,,,,,,,0.5,kg,هوبيجان,,,,,,,,,,,,,,,,,,,,
منتج,عينة عطر دارلينج من دي غابور بارفيوم,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/087a5b97-a2a7-46f0-b2d2-685e1236c41e-500x500-3zlEwZVxLa02G1ihTLzT37GxV5vz4O8l1qu4J3e3.png",عينة عطر دارلينج من دي غابور بارفيوم,منتج جاهز,24,<p>عينة عطر دارلينج من دي غابور بارفيوم</p>,نعم,,,,,,,,,0.5,kg,دي غابور,,,,,,,,,,,,,,,,,,,,
منتج,عينة عطر فوند دامور من دي جابور اكسترايت دي بارفيوم,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/7b3820bc-e8ea-4393-a6f9-06f78a41bfe2-500x500-c81giJ2LQw2toJT3PN9yE9itysxK1KZVOJqPMZ4j.png",عينة عطر فوند دامور من دي جابور اكسترايت دي بارفيوم,منتج جاهز,24,<p>عينة عطر فوند دامور من دي جابور اكسترايت دي بارفيوم</p>,نعم,,,,,,,,,0.5,kg,,,,,,,,,,,,,,,,,,,,,
منتج,ميلانو ماسك الحب قتل العود 100مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/e56f26ce-d103-4f3f-bd21-9e73d86abec0-500x500-4Ryl298tzBpKDBo0woIph5XqyPMzQ882PTtz5ZX6.png",ميلانو ماسك الحب قتل العود 100مل,منتج جاهز,954,<p>ميلانو ماسك الحب قتل العود 100مل</p>,نعم,,,,,,,,,0.5,kg,,,,,,,,,,,,,,,,,,,,,
منتج,عطر مستخلص عطر العود النبطي50مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/9d9054bf-7322-4e0a-9452-750f0467c506-500x500-RxXEUMotblZkBDGmMYqEBi59Zah6Z9fpwCKwErOS.png",عطر مستخلص عطر العود النبطي50مل,منتج جاهز,862,<p>عطر مستخلص عطر العود النبطي50مل</p>,نعم,,,,,,,,,0.5,kg,,,,,,,,,,,,,,,,,,,,,
