verdict,confidence,layer_used,store_name,store_image,comp_name,comp_image,comp_price,comp_source,feature_details,faiss_score,lex_score,llm_reasoning,product_type,brand,salla_category
duplicate,0.5264516129032258,REVERSE-LOOKUP-FOUND,عطر ميزون مارجيلا سايلينج داي أو دو تواليت 100 مل للجنسين,https://cdn.salla.sa/QNvEG/75696dfc-fdfc-4cdf-b683-b8065dc991e3-1000x1000-BJF85nK6AeMUSHytxHegsVPXsLU0QGyxwvLdq17q.jpg,عينة عطر جست كفالي من روبرتو كفالي او دو تواليت,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/10a77047-dce6-4c94-a85c-52db33835925-500x500-C7Mni5qZWXTneml5ncTO5WH9Hvb1PJS0v8idAZbS.png",4,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,,
duplicate,0.95,GOLDEN-HIGH,عطر لاكوست روز او فريش او دو تواليت 100مل,https://cdn.salla.sa/QNvEG/4259eee3-a13c-4117-8bba-c3dc425b8bf9-1000x1000-wLTK6NGityC5h8Kns8jeS33bYHGJtPqSAqQQKCXQ.jpg,عطر لاكوست روز او فريش او دو تواليت 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/57bc817c-059b-4f22-9655-a53fd324cfeb-500x500-1c7eqprB4gWzNyOYXwphs3dvQ2SbSBLpNAWCZ9L4.png",224,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,لاكوست,
duplicate,0.5094594594594595,REVERSE-LOOKUP-FOUND,عطر الشعر ڤيكتور آند رولف فلاور بومب بارفيوم 30 مل للنساء,https://cdn.salla.sa/QNvEG/ec4cd9ac-5100-4316-b24a-50ecce3ee69b-1000x1000-1yIIuP5GPmrz8wysSlYENPYIF4ahtf4dMzKIvnUh.jpg,عطر الشعر فيكتور آند رولف فلاور بومب بارفيوم-30مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/bf2dc1ce-0639-4d70-962c-1eb0a8e7455c-500x500-UqYDIzHGbMSXfwcbBsqmKLAjnTGWKiaYkfBDe2kq.png",263,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,فيكتور آند رولف,
duplicate,0.5357142857142858,REVERSE-LOOKUP-FOUND,عطر صمام عود او دو بارفيوم 100مل,https://cdn.salla.sa/QNvEG/cae09df6-03dc-4d61-b6c6-50064c7ac746-1000x1000-5PwCzUrQU9bG6KeSOFF7YYhrR7qDBu0w3r3nWO9G.png,عطر لاكوست روز او دو بارفيوم-100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/456c0180-101e-4d43-977a-13b329d3836f-500x500-MStx3R230Eg6m1DEGQ9juC0SKtckjDuOW8Skm1Vj.png",207,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,لاكوست,
duplicate,0.9055555555555557,GOLDEN-HIGH,عطر لاكوست الاسود الرجالي نوار او دو تواليت 100مل,https://cdn.salla.sa/QNvEG/dbc27c22-c238-48bd-9281-11d4e652cabd-1000x1000-n5sJ2MNdG3rtH0lHYVkhFe27dsz5qqmKTdh7ceTW.jpg,عطر لاكوست الاسود الرجالي نوار او دو تواليت-100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/807379a1-5c5e-4338-bc5f-c02ea1e1bc22-500x500-tYtUH1BXY8Zqg6mK0SD3KZrZT08Ad5F6Ub6okBnV.png",195,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,لاكوست,
duplicate,0.41127659574468084,REVERSE-LOOKUP-FOUND,عطر ميزون مارجيلا فلاور ماركت أو دو تواليت 100 مل للنساء,https://cdn.salla.sa/QNvEG/729503d8-19d7-446a-97e2-902653ef8469-1000x1000-ldPaqy49oBsQj9d2AghWW1NzFGH9vUW7dBcz5M17.jpg,عطر L.12.12 روز سباركلينج من لاكوست أو دو تواليت للنساء 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/c8ba3d4a-7831-4f49-bbfb-1ea3701cfc45-500x500-riIXBaOGXOCwHkpYllabN54XC5e8bL0vyV7zG3EX.png",189,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,لاكوست,
duplicate,0.4681818181818182,REVERSE-LOOKUP-FOUND,عطر كارون بور أن هوم دو كارون سبورت أو دو تواليت 125مل,https://cdn.salla.sa/QNvEG/da028707-c83d-417b-8c18-3d4012ac628c-1000x1000-E7PXVToBgSrROXDL7xUsf5SCVzhr6ismKDBhUhsb.jpg,عطر لاكوست اسنشيال رجالي او دي تواليت 125مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/ca528afb-add6-4dc0-8d6b-c57840848f33-500x500-UHWCbZTiAYZLwUI9nnMjyUqZ3sBxznN8XeGGfXbW.png",184,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,لاكوست,
duplicate,0.5031645569620253,REVERSE-LOOKUP-FOUND,تستر لويس فيتون لي سابيلس روزيس أو دو برفيوم 100مل,https://cdn.salla.sa/QNvEG/985a563b-bd4a-416a-8b7f-d13e8e9f3904-1000x1000-qjb3opKgmyuhAePY1nKWQEyXobWYhC1hSkoC4Dvr.png,جيبرليز يس ايم ذا كوين ليدي او دو برفيوم 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/ef451228-472f-4495-8d19-333bc5f7e9ef-500x500-8sOhREZuUuy1uNMP7BH0JvCv9LdH17DZ3wXwOqDT.png",126,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,جيبرليز,
duplicate,0.4568965517241379,REVERSE-LOOKUP-FOUND,عطر ميمو باريس إنليه أو دو بارفيوم 75 مل,https://cdn.salla.sa/QNvEG/ad8a7c88-f814-4ab6-a04b-c1c74afb0789-1000x1000-tHjFqXKfFOfj2FF4RPd6B6QA27yCLP2PCpTnIxX6.jpg,عطر فان كليف مسك دي سوي او دو بارفيوم 75 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/41fcbf61-8b7c-417b-8b3b-cd3d4ce0294c-388.88888888889x500-nhj0XAx5ydCwydmzC84GKtk9NgiOqGQCS7WeIBBG.png",523,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,,
duplicate,0.5438461538461539,REVERSE-LOOKUP-FOUND,عطر إنيشيو أتوميك للشعر أو دو بارفيوم 50 مل,https://cdn.salla.sa/QNvEG/7a47c6bc-84d2-457b-92d3-d3e6ee873e56-1000x1000-z8qoowmJiFx7Cu8S5n2GSCpaBneYmGssmqjaZrDu.png,عطر الشعر أتوميك روز من إنيشيو ٥٠ مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/323ceebc-406a-4d1d-8761-a5ac92c53fd5-404.85829959514x500-euAN2slc6EW2mPjqPiwsnGh5a9MQhpZCZDZifhy3.png",373,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,,
duplicate,0.44384615384615383,REVERSE-LOOKUP-FOUND,عطر لطافة مجموعة هدايا وشوشة (أو دو برفيوم 100 مل + مزيل عرق 200 مل),https://cdn.salla.sa/QNvEG/dff13ad5-d7b2-4971-92d0-a386a70a7cd8-1000x1000-QyVMVvmX7pmfKmul8on8Oe3KNqKRUHYBY6VdjmvJ.png,مجموعة هدايا عطر سيجنتشر دايموند او دو بارفيوم (عطر 100مل + عينة 15مل),"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/68156594-0fa8-4d67-baa4-0a68e7599ff9-500x500-O80HUK4uGroZM74gN2jWMMFPydsvnHpdAgbPrMp7.png",368,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,سيجنتشر,
duplicate,0.3640816326530612,REVERSE-LOOKUP-FOUND,عطر لطافة مجموعة هدايا وشوشة (أو دو برفيوم 100 مل + مزيل عرق 200 مل),https://cdn.salla.sa/QNvEG/dff13ad5-d7b2-4971-92d0-a386a70a7cd8-1000x1000-QyVMVvmX7pmfKmul8on8Oe3KNqKRUHYBY6VdjmvJ.png,مجموعة هدايا عطر سيجنتشر سيلاجيد اورينت روز 100 مل +15 مل تعبئه,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/591ae5ae-234f-4e60-aa73-07d029269b49-500x500-sQs78dWqhgVZTogKbV6MAtVGGDC2mRKOTGf061HT.png",368,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,سيجنتشر,
duplicate,0.44384615384615383,REVERSE-LOOKUP-FOUND,عطر لطافة مجموعة هدايا وشوشة (أو دو برفيوم 100 مل + مزيل عرق 200 مل),https://cdn.salla.sa/QNvEG/dff13ad5-d7b2-4971-92d0-a386a70a7cd8-1000x1000-QyVMVvmX7pmfKmul8on8Oe3KNqKRUHYBY6VdjmvJ.png,مجموعه هدايا عطر سيجنتشر سانتال او دي بارفيوم ( 100مل + عينة 15 مل ),"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/65e96e30-5a4c-4afa-8411-aed9b6a74957-500x500-dWvSc691YieMVyHUsZtmX8CrdTc0u7oyfXvFPZPI.png",368,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,سيجنتشر,
duplicate,0.4102898550724638,REVERSE-LOOKUP-FOUND,عطر ون مليون باكربان اليكسير المركز 100مل,https://cdn.salla.sa/QNvEG/b63b1998-100a-44f3-bf0e-e55462b61383-1000x1000-pux9KJKR05fc7XcVr1vzEnCWU8n7aVNBrrGzxdK2.png,مجموعة عطر جو مالون عطر عود اند برغموت المركز، 100 مل+9مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/9b00da65-9f13-4d43-877e-1d4a95aa85b1-500x500-M803fLwvMwiLDuah8da7KmTyXSTygfAybyID2dHm.webp",775,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,جو مالون,
duplicate,0.38999999999999996,REVERSE-LOOKUP-FOUND,عطر روجا دوف سلطنه عمان او دى بيرفيوم 50 مل للجنسين,https://cdn.salla.sa/QNvEG/1902f389-ca75-4253-ba26-fd5ef3e09252-1000x1000-poLNieQgpiUCddp2dl8c6SaiDXYiwdm9CcTZN8tG.jpg,عطر ذا سبريت اوف دبي بحر او دو بارفيوم ٥٠مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/b670dcf1-bb52-4c71-adc6-d67b4d82ba54-500x500-gkJezQjDIT1MD4UK5Cns6x4xyXaNQNYUgzn8iezc.png",971,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,,
