verdict,confidence,layer_used,store_name,store_image,comp_name,comp_image,comp_price,comp_source,feature_details,faiss_score,lex_score,llm_reasoning,product_type,brand,salla_category
new,0.44310344827586207,GOLDEN-LOW-VERIFIED,عطر ذا دارك سايد فرانشيسكا بيانكي -100مل,https://cdn.salla.sa/QNvEG/7d5136f1-797a-46b5-997f-80d6ec252a29-750x1000-DRv7mi54nto95ApPEvqOu23ajZofbetCqDuD09cK.jpg,عطر ماجيك من ستيفانو 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/a13db61d-e420-4bb8-95f6-fa406d89b7f2-500x500-Ua2bS3M0pCrn04ilzVsip67cltPDsnv4kS83Ties.jpg",159,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,ستيفانو,
new,0.4679999999999999,GOLDEN-LOW-VERIFIED,جاد بخور مبسوس الجود 30 جرام,https://cdn.salla.sa/QNvEG/598e1cef-60e7-41e6-920f-16eae3ffcd3b-800x1000-lBGu2G83TejK576bb8FeNgeWgT3M7kAoIs19dxby.png,جاميز مكمل غذائي لنقص الوزن بنكهة خل التفاح الطبيعي من نيوتري في - 60 قطعة,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/bb6eefef-4466-4205-b4b4-7bd191827dfb-500x500-k8VKXmw2WrTIvsf6Bs8ChuoA3kHY2utbRIekdxV7.png",95,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,,
new,0.20765957446808514,GOLDEN-LOW-VERIFIED,عطر ويسكر كرويل أو دو بارفيوم 75مل (للجنسين),https://cdn.salla.sa/QNvEG/0156e6b0-378d-4403-86dd-fb69dc75aeec-1000x1000-ZZo6IEdRhSenx9TwuGEyuVFlzy3cozwXct2u0SRD.jpg,"بيوتين, حلوى جاميز, مكمل غذائي, للشعر والصحة, بنكهة التوت, 60حبة","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/41b9f3fb-7c65-419f-9adb-8e01f3d6eac4-500x500-JwAMn1snU0HTmMtgBBhSDPhmwoXnNMj04GY1PTgj.png",80,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,,
new,0.5448780487804878,GOLDEN-LOW-VERIFIED,كريم أساس استي لودر دبل وير ستاي إن بلايس,https://cdn.salla.sa/QNvEG/ac8fb526-b26f-4d64-ab52-1d0279298948-1000x1000-iQlit3JdB181aGyygJOxL8X80fqgH45hpEmG39c7.png,كريم أساس اير مات من بورجوا - 03 لايت بيج,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/31461696-43c3-462b-bf2d-58193d955e42-500x500-O4QrWQgHVRnHbWUN6ru7BvORrmMjdvdxlzoQXgVz.png",55,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,,
new,0.1968279569892473,GOLDEN-LOW-VERIFIED,تستر جورجيو أرماني بريف بلانك نوير أو دو برفيوم 100مل,https://cdn.salla.sa/QNvEG/584bc5f6-d127-450b-9692-bf86f8ab60a8-1000x1000-u8MKhMK9frHDosleU4zlGRHACSzvNfzfnYR37fo8.png,فرينش افينيو ليكويد برون ليميتد اديشن او دو برفيوم 150مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/cda06362-75c5-492e-b524-bafae90bafc3-500x500-H9MVggTJe6Hs4ph3fpUdvWCMoiK7Qa3YMd3SkAaU.png",164,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,,
new,0.3246153846153846,GOLDEN-LOW-VERIFIED,تستر توم فورد ياسمين روج أو دو برفيوم 50 مل,https://cdn.salla.sa/QNvEG/5e2dd86d-a072-4d71-8420-dd9705df5626-1000x1000-Ycdg7y57ODEMxZioTvnt8Cv4tnroer2X7TjfT6Pt.jpg,توبيريوس نو من توم فورد أو دو برفوم (للجنسين) 30مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/69d1a149-dba8-48dc-8260-2263ae4c134a-500x500-czsEpWoMsNuqvPtzSiYTVkksB7D2FTQyaFA3VVZl.png",362,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,توم فورد,
new,0.21614754098360656,GOLDEN-LOW-VERIFIED,عطر توم فورد روز بريك أو دو بارفيوم 250مل,https://cdn.salla.sa/QNvEG/991f93b1-afae-4226-8f09-86346e52c2c3-1000x1000-WMfkNrqfJDkhlrbY3ridAV1VgpVW0jUH875zR4zG.jpg,عطر روز بريك من توم فرود اودي بارفيوم30مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/cb3f6129-bcef-475c-9ec0-d6e037cdde62-500x500-1FWiIGBZBrfV0C5Cq3TT8PshNUvRXlYRgK2vkUNO.png",753,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,,
new,0.375,GOLDEN-LOW-VERIFIED,عطر توم فورد وايت سوايد أو دو برفيوم 50 مل,https://cdn.salla.sa/QNvEG/958ff13d-758d-4407-8bf9-4e55d62de3ad-1000x1000-beBM30cE5frgzMxQpytgOmPRR1ZAhfEKHb9LSiuQ.jpg,توم فورد وايت سويدي اي دي بيرفيوم للنساء 30 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/0f6d49c9-b581-45b4-aff3-35ed4b530a7f-500x500-HDDUfwWcCRx8sgaYkcV3MNvnl9IIXnUmn6eapgUL.png",362,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,توم فورد,
new,0.458,GOLDEN-LOW-VERIFIED,معطر للجسم توم فورد بلاك أوركيد 150مل,https://cdn.salla.sa/QNvEG/5e45eb3e-a5d4-4c2e-afe9-30c3a04ba775-1000x1000-3sRuRuHW9VUl7yowaX92VOWovTYxSn0albpq0qPG.jpg,معطر جسم توم فورد توسكان ليذر 150مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/5a3548e8-6c56-492c-81ba-22362c1377bd-500x500-cfpekdPt9lQgRULzOlnmkfXMmTOhhSuRB9qw78UA.png",347,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,توس,
new,0.3906122448979592,GOLDEN-LOW-VERIFIED,مجموعة إنيشيو برايف كولكشن للجنسين 7 × 2 مل,https://cdn.salla.sa/QNvEG/0f2b33c8-cd3a-449f-8330-966ce2079002-1000x1000-20IAl3D8sWlcjQ1C3NEObcswM912ol6lpHtKE0Fr.jpg,ماسكرا تكثيف وتطويل الرموش من لوكا - 7جرام | 01 Dark Black,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/e52acba2-6659-444b-b853-78b76d78c678-500x500-jcNHdoLATbz9Tlk3FhY3IFeIvaIjwwnqz9W0hDjw.png",25,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,,
